CensusTract,County,LILATracts_1And10
20161001302,Riley,0
20161980000,Riley,0
20163974600,Rooks,0
20163974700,Rooks,1
20165972100,Rush,0
20165972200,Rush,1
20167973800,Russell,1
20167973900,Russell,0
20169000100,Saline,0
20169000200,Saline,1
20169000300,Saline,0
20169000400,Saline,0
20169000500,Saline,1
20169000600,Saline,0
20169000700,Saline,0
20169000800,Saline,0
20169000900,Saline,0
20169001000,Saline,0
20169001100,Saline,0
20169001200,Saline,0
20171957100,Scott,0
20173000100,Sedgwick,0
20173000200,Sedgwick,0
20173000300,Sedgwick,0
20173000400,Sedgwick,0
20173000600,Sedgwick,0
20173000700,Sedgwick,1
20173000800,Sedgwick,0
20173000900,Sedgwick,1
20173001000,Sedgwick,1
20173001100,Sedgwick,0
20173001400,Sedgwick,0
20173001500,Sedgwick,0
20173001800,Sedgwick,0
20173001900,Sedgwick,0
20173002000,Sedgwick,0
20173002100,Sedgwick,0
20173002200,Sedgwick,0
20173002300,Sedgwick,0
20173002400,Sedgwick,1
20173002600,Sedgwick,0
20173002700,Sedgwick,1
20173002800,Sedgwick,1
20173002900,Sedgwick,1
20173003000,Sedgwick,1
20173003100,Sedgwick,1
20173003200,Sedgwick,0
20173003400,Sedgwick,1
20173003500,Sedgwick,0
20173003600,Sedgwick,0
20173003700,Sedgwick,0
20173003800,Sedgwick,1
20173003900,Sedgwick,0
20173004000,Sedgwick,0
20173004300,Sedgwick,0
20173005100,Sedgwick,0
20173005200,Sedgwick,1
20173005300,Sedgwick,0
20173005400,Sedgwick,0
20173005501,Sedgwick,0
20173005502,Sedgwick,0
20173005600,Sedgwick,0
20173005700,Sedgwick,1
20173005800,Sedgwick,1
20173005900,Sedgwick,1
20173006000,Sedgwick,1
20173006100,Sedgwick,1
20173006200,Sedgwick,0
20173006300,Sedgwick,0
20173006400,Sedgwick,0
20173006500,Sedgwick,1
20173006600,Sedgwick,1
20173006700,Sedgwick,1
20173006800,Sedgwick,0
20173006900,Sedgwick,1
20173007000,Sedgwick,1
20173007101,Sedgwick,0
20173007102,Sedgwick,0
20173007201,Sedgwick,0
20173007203,Sedgwick,0
20173007204,Sedgwick,0
20173007301,Sedgwick,0
20173007302,Sedgwick,0
20173007400,Sedgwick,0
20173007500,Sedgwick,1
20173007600,Sedgwick,0
20173007700,Sedgwick,0
20173007800,Sedgwick,1
20173008000,Sedgwick,0
20173008100,Sedgwick,0
20173008200,Sedgwick,1
20173008300,Sedgwick,0
20173008400,Sedgwick,0
20173008500,Sedgwick,0
20173008600,Sedgwick,0
20173008700,Sedgwick,0
20173008800,Sedgwick,1
20173008900,Sedgwick,0
20173009000,Sedgwick,1
20173009100,Sedgwick,1
20173009200,Sedgwick,0
20173009301,Sedgwick,0
20173009302,Sedgwick,1
20173009401,Sedgwick,0
20173009402,Sedgwick,0
20173009503,Sedgwick,0
20173009504,Sedgwick,0
20173009505,Sedgwick,0
20173009506,Sedgwick,0
20173009507,Sedgwick,0
20173009508,Sedgwick,0
20173009509,Sedgwick,0
20173009510,Sedgwick,0
20173009511,Sedgwick,0
20173009512,Sedgwick,0
20173009513,Sedgwick,0
20173009603,Sedgwick,0
20173009604,Sedgwick,0
20173009605,Sedgwick,0
20173009700,Sedgwick,0
20173009801,Sedgwick,0
20173009802,Sedgwick,0
20173009900,Sedgwick,0
20173010001,Sedgwick,0
20173010002,Sedgwick,0
20173010003,Sedgwick,0
20173010004,Sedgwick,0
20173010005,Sedgwick,0
20173010106,Sedgwick,0
20173010107,Sedgwick,0
20173010108,Sedgwick,0
20173010109,Sedgwick,0
20173010110,Sedgwick,0
20173010111,Sedgwick,0
20173010113,Sedgwick,0
20173010115,Sedgwick,0
20173010116,Sedgwick,0
20173010200,Sedgwick,0
20173010300,Sedgwick,0
20173010400,Sedgwick,0
20173010500,Sedgwick,0
20173010600,Sedgwick,0
20173010700,Sedgwick,0
20173010801,Sedgwick,0
20173010802,Sedgwick,0
20175965600,Seward,0
20175965700,Seward,0
20175965800,Seward,1
20175965900,Seward,1
20175966000,Seward,1
20177000400,Shawnee,0
20177000500,Shawnee,0
20177000600,Shawnee,1
20177000700,Shawnee,1
20177000800,Shawnee,1
20177000900,Shawnee,0
20177001000,Shawnee,1
20177001100,Shawnee,1
20177001200,Shawnee,1
20177001300,Shawnee,0
20177001500,Shawnee,0
20177001601,Shawnee,0
20177001603,Shawnee,0
20177001604,Shawnee,0
20177001800,Shawnee,0
20177001900,Shawnee,0
20177002100,Shawnee,0
20177002200,Shawnee,0
20177002400,Shawnee,0
20177002500,Shawnee,0
20177002601,Shawnee,0
20177002602,Shawnee,0
20177002701,Shawnee,0
20177002702,Shawnee,0
20177002800,Shawnee,0
20177002900,Shawnee,0
20177003001,Shawnee,1
20177003002,Shawnee,0
20177003100,Shawnee,1
20177003301,Shawnee,0
20177003302,Shawnee,0
20177003400,Shawnee,0
20177003500,Shawnee,0
20177003601,Shawnee,0
20177003604,Shawnee,0
20177003605,Shawnee,0
20177003606,Shawnee,0
20177003607,Shawnee,0
20177003700,Shawnee,0
20177003901,Shawnee,0
20177003902,Shawnee,0
20177004000,Shawnee,1
20177004100,Shawnee,0
20179952600,Sheridan,0
20179952700,Sheridan,0
20181453600,Sherman,1
20181453700,Sherman,1
20183475800,Smith,0
20183475900,Smith,1
20185470600,Stafford,0
20185470700,Stafford,0
20187964100,Stanton,0
20189965100,Stevens,1
20189965200,Stevens,0
20191962100,Sumner,0
20191962200,Sumner,0
20191962300,Sumner,0
20191962400,Sumner,0
20191962500,Sumner,0
20191962600,Sumner,0
20193953100,Thomas,0
20193953400,Thomas,0
20195955800,Trego,0
20197483100,Wabaunsee,0
20197483200,Wabaunsee,0
20199954100,Wallace,0
20201978600,Washington,0
20201978700,Washington,0
20203957600,Wichita,0
20205097100,Wilson,1
20205097200,Wilson,0
