County,CTY_SUB,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
Cheyenne County,Orlando township,105,91,66,63,49,44
Cheyenne County,Porter Township,145,,,,,
Cheyenne County,Wano township,1999,2204,2010,2104,1839,1731
Clark County,Appleton township,822,908,875,921,940,912
Clark County,Brown Township,80,,,,,
Clark County,Center township,1451,1238,1146,1097,974,867
Clark County,Englewood township,195,197,148,171,125,110
Clark County,Lexington township,74,84,63,83,78,38
Clark County,Liberty township,40,42,61,32,35,13
Clark County,Sitka township,161,130,125,86,63,51
Clark County,Vesta Township,73,,,,,
Clay County,Athelstane township,208,194,158,144,119,106
Clay County,Blaine township,249,293,298,259,239,214
Clay County,Bloom township,163,122,98,125,113,161
Clay County,Chapman township,275,264,188,202,191,175
Clay County,Clay Center city,4963,4948,4613,4564,4334,4199
Clay County,Clay Center township,386,383,398,368,390,384
Clay County,Exeter township,128,115,94,81,76,60
Clay County,Five Creeks township,183,171,160,159,123,118
Clay County,Garfield township,209,159,134,107,117,91
Clay County,Gill township,167,150,161,140,128,146
Clay County,Goshen township,145,110,80,92,60,41
Clay County,Grant township,134,144,116,132,146,171
Clay County,Hayes township,233,221,261,206,222,184
Clay County,Highland township,361,376,340,310,278,254
Clay County,Mulberry township,576,501,402,331,331,278
Clay County,Oakland township,148,108,96,110,95,104
Clay County,Republican township,745,971,1055,1024,1142,1068
Clay County,Sherman township,436,394,347,328,275,235
Clay County,Union township,181,178,159,140,156,128
Cloud County,Arion township,166,137,107,105,100,112
Cloud County,Aurora township,280,230,195,169,120,133
Cloud County,Buffalo township,200,152,159,119,112,93
Cloud County,Center township,202,196,218,172,187,182
Cloud County,Colfax township,119,95,69,49,37,55
Cloud County,Concordia city,7221,6847,6167,5714,5395,5111
Cloud County,Elk township,1102,1055,906,845,817,785
Cloud County,Grant township,604,551,430,479,350,324
Cloud County,Lawrence township,202,230,169,146,118,128
Cloud County,Lincoln township,286,356,421,378,359,363
Cloud County,Lyon township,180,148,126,103,122,84
Cloud County,Meredith township,116,104,85,77,75,73
Cloud County,Nelson township,193,172,161,137,109,106
Cloud County,Oakland township,85,70,57,52,37,36
Cloud County,Shirley township,274,226,189,178,147,150
Cloud County,Sibley township,212,239,205,178,184,149
Cloud County,Solomon township,963,855,663,664,591,547
Cloud County,Starr township,948,757,620,653,624,550
Cloud County,Summit township,113,74,76,50,49,51
Coffey County,Avon township,268,275,185,183,180,161
Coffey County,Burlington city,2099,2901,2735,2790,2674,2634
Coffey County,Burlington township,317,363,313,300,341,383
Coffey County,California Township,55,,,,,
Coffey County,Hampden township,138,105,82,114,128,145
Coffey County,Key West township,223,225,198,237,242,263
Coffey County,LeRoy township,649,792,648,669,669,553
Coffey County,Liberty township,704,723,638,634,555,550
Coffey County,Lincoln township,827,1205,1134,1268,1281,1227
Coffey County,Neosho township,188,173,144,140,131,109
Coffey County,Ottumwa township,288,742,676,740,716,716
Coffey County,Pleasant township,184,270,238,272,254,256
Coffey County,Pottawatomie township,288,239,212,217,205,179
Coffey County,Rock Creek township,845,1000,900,1025,955,914
Coffey County,Spring Creek township,152,160,147,118,114,123
Coffey County,Star township,172,197,154,158,156,147
Comanche County,Avilla township,124,111,106,58,84,58
Comanche County,Coldwater township,1275,1359,1223,1086,1048,920
Comanche County,Logan Township,59,,,,,
Comanche County,Nescatunga Township,54,,,,,
Comanche County,Powell township,153,156,120,89,82,55
Comanche County,Protection township,896,928,864,734,677,656
Comanche County,Shimer Township,62,,,,,
Comanche County,Valley Township,79,,,,,
Cowley County,Arkansas City city,13216,13201,12762,11963,12415,11974
Cowley County,Beaver township,232,225,244,244,205,212
Cowley County,Bolton township,1498,1681,1961,1754,1705,1434
Cowley County,Cedar township,78,78,46,44,37,20
Cowley County,Creswell township,1522,2290,2414,2098,1970,1888
Cowley County,Dexter township,469,570,549,506,433,374
Cowley County,Fairview township,233,226,217,203,248,281
Cowley County,Grant township,95,93,58,76,67,75
Cowley County,Harvey township,125,118,109,117,94,83
Cowley County,Liberty township,148,199,160,218,163,174
Cowley County,Maple township,336,473,588,702,716,761
Cowley County,Ninnescah township,883,1142,1126,1114,1050,915
Cowley County,Omnia township,331,358,320,357,312,274
Cowley County,Otter township,80,73,45,54,40,24
Cowley County,Pleasant Valley township,792,1027,830,838,885,813
Cowley County,Richland township,166,170,184,178,196,169
Cowley County,Rock Creek township,248,233,209,243,243,266
Cowley County,Salem township,245,273,298,364,306,307
Cowley County,Sheridan township,162,144,160,159,152,161
Cowley County,Silver Creek township,671,707,698,770,715,689
Cowley County,Silverdale township,296,376,359,327,354,329
Cowley County,Spring Creek township,122,89,78,77,75,76
Cowley County,Tisdale township,255,305,299,340,325,298
Cowley County,Vernon township,649,709,513,502,484,431
Cowley County,Walnut township,520,1105,550,626,644,590
Cowley County,Windsor township,235,223,207,211,176,154
Cowley County,Winfield city,11405,10736,11931,12206,12301,11777
Crawford County,Baker township,2926,3330,3350,3640,3408,3467
Crawford County,Crawford township,827,761,723,883,928,1042
Crawford County,Frontenac city,2223,2586,2588,2996,3437,3382
Crawford County,Girard city,2591,2888,2794,2773,2789,2496
Crawford County,Grant township,404,368,267,247,236,233
Crawford County,Lincoln township,920,1048,803,942,832,790
Crawford County,Mulberry city,622,647,555,577,520,409
Crawford County,Osage township,950,853,793,756,686,742
Crawford County,Pittsburg city,20171,18770,17775,19243,20233,20646
Crawford County,Sheridan township,1520,1619,1397,1501,1451,1273
Crawford County,Sherman township,564,549,519,520,536,486
Crawford County,Walnut township,884,843,612,624,577,487
Crawford County,Washington township,3248,3654,3392,3540,3501,3519
